100 41 41 29

11 61 35 18 58 22 51 56 45 72 20 95 82 36 25 46 84 99 60 24 69 23 72 61 39 87 83 55 78 45 93 22 87 44 31 38 17 42 99 15 44
25 46 57 72 89 24 14 11 68 56 66 67 63 36 58 37 61 20 17 67 82 78 25 38 70 67 76 21 96 35 52 39 26 15 17 89 78 72 90 77 74
80 60 27 11 46 82 64 92 22 62 62 47 91 58 58 37 76 39 74 41 25 46 55 75 53 88 56 95 20 54 13 73 33 22 35 61 69 46 71 23 42
25 76 16 56 36 68 89 22 82 84 52 15 71 52 84 84 86 91 42 37 64 48 91 76 68 15 87 52 44 50 62 28 90 78 89 90 83 13 93 94 24
97 78 46 38 64 19 30 89 30 47 62 80 17 51 72 70 44 64 84 26 12 72 70 63 73 60 81 27 51 20 45 91 49 93 72 63 48 21 65 20 57
41 14 57 74 86 85 34 48 45 31 48 81 31 79 84 68 52 53 86 16 37 78 28 48 29 55 40 67 85 16 57 75 12 63 79 29 55 80 87 48 30
46 43 66 78 46 34 24 67 20 61 89 41 28 93 36 56 41 26 15 32 10 94 79 71 38 55 26 19 80 53 53 14 57 97 10 42 80 48 54 48 63
21 55 23 86 40 55 76 20 50 15 67 64 35 66 53 70 11 56 67 63 82 83 70 77 95 83 48 96 87 29 90 45 18 70 19 40 10 26 51 60 82
65 58 63 41 25 36 27 79 89 83 63 71 49 91 39 44 64 44 31 52 51 91 58 92 33 38 76 23 28 40 55 51 20 49 55 27 67 53 64 82 11
51 54 90 83 36 50 40 97 30 51 85 67 18 54 14 56 71 52 14 66 54 84 37 94 21 73 75 69 98 48 10 68 91 76 52 34 54 62 57 26 30
16 90 27 55 36 91 50 11 81 23 96 22 88 13 48 48 51 61 15 86 50 15 11 84 60 60 87 95 30 13 18 76 96 81 67 97 71 55 63 36 81
58 30 27 74 88 31 22 76 47 72 13 86 67 44 57 71 65 12 54 81 16 58 97 75 81 17 34 98 70 55 25 25 24 69 68 24 11 74 76 87 97
57 80 76 78 43 29 25 34 13 68 42 30 76 58 34 74 57 60 99 16 21 44 68 53 77 88 97 65 95 46 67 38 84 49 51 43 11 45 51 41 38
77 11 96 46 59 75 73 35 37 49 43 53 25 30 72 41 93 35 96 42 18 83 12 37 64 61 33 82 33 63 40 61 47 91 31 72 43 82 11 33 18
50 88 96 41 77 18 62 91 57 76 61 54 44 23 79 40 24 83 69 43 27 97 79 89 43 51 82 84 21 58 92 33 55 85 14 18 29 44 63 58 61
77 87 19 38 12 36 95 98 27 66 54 46 48 94 69 75 43 48 98 75 58 29 84 30 97 45 94 77 57 68 73 30 19 49 45 13 92 53 81 73 19
64 68 99 81 17 91 41 34 29 33 25 40 22 38 97 83 42 92 41 82 35 57 31 39 14 32 27 44 89 64 55 82 94 27 73 61 60 92 84 57 18
55 82 12 85 31 61 75 69 78 16 77 56 75 93 41 24 53 53 18 84 59 15 65 86 81 26 17 38 17 67 85 71 14 17 54 49 87 64 91 55 11
18 32 81 15 57 89 49 72 62 44 25 92 30 78 43 55 84 91 52 41 94 20 33 94 88 33 54 25 22 74 38 64 94 15 47 27 64 86 25 29 94
50 31 40 21 28 26 51 71 75 56 52 39 84 56 47 36 55 29 21 67 51 36 65 90 26 56 33 31 11 51 98 80 67 54 98 16 88 86 23 69 60
49 97 89 42 61 76 41 43 23 25 45 55 50 25 25 79 31 73 82 39 46 92 73 82 56 92 42 48 86 49 63 50 58 49 57 68 34 59 30 63 37
74 85 24 77 50 85 45 11 96 47 31 56 49 21 60 61 34 21 45 73 98 32 15 14 97 97 74 70 78 73 60 26 12 29 63 67 76 73 67 65 63
26 94 73 83 63 29 91 42 33 63 11 62 38 49 35 41 33 95 89 67 64 94 49 57 35 59 79 50 21 33 24 11 43 69 80 54 31 78 26 63 83
58 79 36 55 23 91 28 73 18 16 87 83 82 85 12 65 44 52 22 90 27 81 47 22 37 98 97 18 76 75 46 59 74 83 79 66 73 43 82 17 49
48 12 68 35 74 46 38 32 76 33 84 99 56 90 21 80 26 26 77 52 90 42 79 18 35 61 14 42 98 67 54 42 42 20 76 59 98 57 13 97 84
85 88 85 17 54 29 58 19 98 41 19 26 28 35 23 15 54 62 40 87 46 98 17 96 13 64 19 29 67 14 72 94 44 55 90 53 97 18 92 33 78
52 12 33 23 28 17 57 50 59 66 57 80 72 69 38 13 37 83 66 52 74 76 55 11 42 31 49 34 87 45 42 31 63 35 85 21 71 27 53 91 99
32 30 18 49 36 42 51 44 30 31 64 75 35 23 37 91 41 32 87 78 46 11 72 70 65 59 53 90 99 32 67 14 78 40 66 77 19 49 90 42 91
14 58 95 18 91 17 52 57 28 68 86 39 88 52 18 55 77 50 61 99 55 41 39 48 47 81 49 94 37 54 84 19 19 43 77 92 39 38 33 83 12
62 79 98 30 56 20 34 26 35 56 14 30 50 35 68 52 36 79 29 52 30 15 64 23 73 28 98 52 11 45 88 85 19 51 27 20 70 11 67 94 40
67 71 70 45 44 45 18 75 33 16 55 76 43 86 34 49 47 89 13 26 12 43 37 18 37 71 48 46 61 86 39 67 85 66 81 94 56 88 41 53 61
82 81 30 83 31 18 26 12 66 75 81 11 59 74 77 54 28 48 92 84 19 46 13 83 40 30 46 92 69 71 44 88 34 38 86 92 33 71 24 89 98
26 74 30 45 20 22 67 24 80 66 59 67 23 41 58 80 43 31 95 92 52 42 24 57 28 43 54 17 71 72 67 93 33 74 60 18 18 50 47 77 84
22 93 23 69 96 32 47 79 58 27 72 18 39 29 39 40 23 37 97 43 83 28 90 71 48 81 20 86 58 61 84 15 35 60 93 68 50 57 70 17 87
59 61 59 25 68 61 98 35 20 42 51 83 74 43 25 49 56 11 58 14 47 88 84 18 57 88 36 90 16 98 81 60 39 79 36 84 15 46 20 28 81
18 56 14 19 69 28 92 94 83 46 48 26 49 67 20 85 17 39 19 76 49 45 25 53 33 41 88 69 41 38 85 54 83 45 41 95 38 36 19 97 50
82 67 91 45 16 39 67 92 19 77 49 48 93 48 15 54 79 98 77 19 62 44 77 35 96 90 28 49 25 96 33 52 80 11 75 46 53 81 40 46 51
68 23 65 64 51 78 64 90 83 41 47 13 77 36 72 13 82 79 69 45 28 11 62 47 24 25 19 96 55 33 17 54 67 50 44 42 20 71 45 19 69
98 46 47 61 30 77 84 27 36 79 17 73 66 45 81 55 54 15 24 33 90 71 23 20 96 74 22 50 55 74 64 79 91 63 61 86 55 55 73 56 81
50 96 68 23 47 67 13 52 19 43 50 37 62 82 51 78 20 14 18 78 24 74 95 81 86 14 95 99 33 94 26 37 82 62 68 89 52 32 73 97 66
92 80 87 82 53 46 69 82 19 28 81 44 94 39 64 13 84 36 16 51 19 25 14 68 76 77 86 89 53 54 81 76 70 10 71 56 51 10 77 78 76
20 95 41 23 35 23 87 74 66 35 97 21 72 73 79 78 34 89 64 34 13 95 42 75 75 14 36 26 18 25 60 48 34 36 90 48 44 36 96 57 84
47 75 58 40 33 69 82 42 57 14 22 30 81 72 37 93 75 95 71 13 46 18 24 11 60 81 96 48 38 78 15 35 72 20 32 74 86 32 13 69 68
90 86 56 31 87 96 54 73 12 68 85 53 43 84 67 69 33 51 46 33 42 83 52 15 59 75 39 28 39 41 45 71 43 42 63 48 63 77 30 68 52
56 37 86 68 71 64 31 78 16 86 78 95 65 73 59 41 77 80 14 86 70 90 54 70 15 99 79 94 64 35 54 30 39 41 36 89 50 77 24 65 79
32 44 50 36 72 37 50 93 95 70 70 65 47 43 67 97 85 59 61 83 74 60 14 72 84 87 33 75 82 14 69 10 37 62 47 14 86 14 17 18 73
51 73 86 15 97 22 57 37 55 42 97 63 30 50 69 97 68 75 21 95 60 48 26 84 32 66 92 79 40 64 22 14 28 51 21 17 18 68 62 98 69
67 41 86 84 85 82 35 71 82 53 15 83 55 23 82 57 33 74 61 17 65 29 56 74 79 52 35 81 82 20 83 81 65 22 20 45 30 99 27 99 70
52 16 82 29 13 37 92 20 35 45 42 13 20 98 32 17 59 22 49 50 22 99 21 12 62 69 77 62 56 34 72 12 95 28 16 72 48 23 82 81 12
17 80 63 32 84 27 78 94 76 53 24 35 70 24 92 28 17 40 38 35 35 95 92 43 75 44 16 15 39 21 39 69 65 27 71 61 68 35 73 59 39
51 40 43 55 61 65 55 73 41 63 93 99 87 55 66 98 28 83 12 87 30 94 54 26 30 61 20 91 41 27 88 59 32 41 68 11 61 56 56 42 11
32 46 62 12 47 28 67 84 25 34 58 43 69 38 49 18 26 84 55 53 84 47 34 36 44 42 98 27 86 81 85 94 79 96 25 83 86 76 22 26 42
31 93 63 34 56 18 17 52 88 33 69 28 41 54 76 13 11 58 64 27 41 32 78 21 23 37 41 90 95 39 38 51 53 16 89 48 18 18 22 75 54
24 37 36 99 38 96 46 75 80 33 97 75 20 13 95 23 25 53 19 87 63 43 16 19 92 86 77 26 39 13 82 99 47 17 23 59 64 87 66 35 72
55 95 16 25 13 73 29 12 56 66 17 16 19 78 55 56 74 77 79 20 84 48 48 74 78 80 11 88 61 24 25 83 44 36 10 82 11 51 10 11 29
30 75 32 92 85 80 85 37 76 91 99 96 98 51 50 58 39 73 79 68 86 52 39 95 22 26 17 34 78 11 16 94 39 55 18 26 52 61 42 56 43
82 23 11 42 46 62 20 31 90 84 89 90 78 26 23 71 12 27 38 25 75 34 77 42 43 86 62 16 74 47 28 11 98 59 38 85 99 51 82 50 30
61 53 32 52 51 99 47 79 68 44 86 40 67 87 97 49 65 52 85 57 78 70 31 97 50 77 18 64 14 28 25 74 71 80 35 12 26 62 48 15 60
78 26 39 44 26 78 95 44 82 95 10 23 85 66 76 95 76 79 84 28 67 95 82 14 55 31 67 77 26 80 11 21 58 53 52 55 92 29 10 82 30
52 44 33 66 14 96 39 43 88 43 98 30 24 48 53 49 73 67 14 59 15 72 32 58 53 49 58 21 73 93 40 41 33 19 83 49 86 69 16 29 75
