100 40 40 100

51 90 89 47 43 68 59 12 25 17 13 51 56 45 57 88 91 74 70 51 77 89 88 32 86 60 13 60 16 18 11 84 94 24 59 19 13 84 23 18
78 90 85 20 21 64 74 70 11 86 39 84 74 41 64 26 41 28 42 74 50 71 43 65 60 66 76 91 81 82 73 20 31 57 79 90 40 54 64 62
22 86 85 15 40 75 14 77 13 56 39 33 96 77 67 25 17 27 89 90 28 73 34 75 44 72 95 74 48 24 86 83 28 89 20 28 11 84 14 25
71 75 57 96 37 12 96 20 13 45 78 40 48 71 97 15 85 19 89 32 60 88 91 90 67 50 23 62 13 19 14 12 51 85 73 44 25 17 45 50
79 53 32 73 22 84 91 40 65 20 93 52 41 13 71 86 94 47 57 59 22 37 20 86 24 10 70 21 92 63 40 79 53 68 32 99 84 44 14 20
98 11 48 82 42 15 73 56 97 52 84 67 19 26 17 16 12 86 35 85 70 98 62 79 58 41 41 26 72 83 61 35 39 53 80 22 88 64 32 58
61 98 62 55 68 11 28 88 23 64 98 11 65 50 46 83 74 28 96 95 41 27 61 48 41 84 64 57 13 60 61 52 81 22 37 67 95 47 22 47
22 51 31 79 32 17 18 20 45 69 63 33 85 91 53 74 23 81 82 88 12 52 70 58 11 11 62 32 27 29 94 13 69 43 90 87 83 69 52 26
83 94 81 76 51 65 58 50 26 42 88 63 61 22 20 80 21 12 32 30 51 20 55 75 87 99 84 52 41 88 37 81 37 23 34 19 57 21 19 91
98 87 22 80 56 99 90 37 71 10 54 33 88 27 36 61 45 31 42 74 32 50 65 35 21 16 49 16 97 28 64 19 64 18 11 73 75 57 26 81
16 83 89 47 82 64 96 73 89 98 47 66 90 85 79 58 33 35 87 17 51 44 22 63 77 59 51 92 93 17 73 68 20 91 77 16 27 41 41 88
35 62 81 94 29 85 82 32 48 96 62 15 84 36 63 29 75 42 59 43 87 29 70 44 51 24 91 46 26 36 89 73 58 15 51 63 52 27 58 51
25 87 50 96 51 49 80 97 84 65 83 23 45 15 53 70 60 26 93 83 11 54 80 83 40 14 97 61 35 34 31 47 69 51 95 56 22 79 71 66
21 57 48 40 92 80 28 34 37 30 98 47 11 49 60 33 30 60 25 93 84 81 69 82 72 70 12 91 49 17 50 75 95 83 63 51 78 52 14 55
28 76 41 93 52 78 81 31 12 95 65 57 48 64 62 96 45 21 15 29 55 64 35 23 34 85 28 53 82 17 87 75 29 18 59 72 98 94 20 63
46 61 34 69 40 11 77 17 66 52 84 37 78 75 11 54 37 17 75 68 40 46 24 58 47 56 11 58 70 30 48 29 27 26 95 41 94 85 90 72
32 90 56 75 47 96 90 37 95 24 83 60 41 86 93 92 80 74 64 90 82 68 17 63 13 61 40 98 78 79 54 27 19 98 59 73 54 68 80 35
39 32 79 76 53 65 62 12 55 60 38 70 87 71 77 39 34 49 74 10 23 13 40 39 51 69 38 67 76 73 82 81 26 82 54 12 72 20 24 83
50 71 79 24 92 99 91 16 33 77 48 86 49 99 10 26 14 25 74 32 71 70 76 44 62 26 80 15 58 74 26 44 39 18 71 83 36 67 37 86
15 25 63 92 16 89 94 58 55 25 47 38 65 54 64 95 81 10 70 20 45 74 85 14 44 48 69 14 27 54 23 49 63 85 43 96 84 97 65 17
35 61 68 31 89 81 15 26 61 67 39 10 40 12 21 60 94 38 63 32 56 52 70 22 94 51 40 49 47 55 34 42 87 45 42 33 77 51 72 37
66 23 73 43 70 96 24 97 44 91 98 83 55 34 36 31 30 36 44 83 40 84 69 24 80 98 53 90 90 70 14 14 34 70 60 92 53 48 36 81
34 53 36 61 38 50 48 98 83 30 70 76 62 36 58 57 46 79 35 75 53 27 78 58 29 40 77 57 80 34 87 18 35 21 57 24 87 35 56 22
49 87 91 54 40 65 56 52 56 24 62 40 46 97 23 15 37 84 21 78 33 80 60 78 90 26 42 87 29 25 74 20 96 12 70 44 77 21 16 34
31 71 15 25 10 37 98 60 70 40 72 46 10 70 16 91 68 83 26 61 81 86 86 16 26 80 22 59 33 66 82 98 66 12 91 77 33 21 39 18
73 73 14 48 64 82 18 21 45 24 78 46 50 39 62 15 28 61 84 67 34 45 68 79 46 96 51 57 31 19 78 63 84 42 45 19 63 97 74 44
43 24 83 22 88 97 46 75 42 13 54 80 65 34 41 41 51 44 78 16 85 32 43 24 15 71 29 34 14 57 74 21 44 33 43 18 23 77 14 80
14 42 64 81 24 94 50 66 48 17 96 60 57 41 41 53 55 62 76 90 90 88 28 60 25 92 97 84 35 84 79 34 26 80 32 24 23 62 58 69
20 74 19 20 15 19 17 40 33 48 26 54 85 64 57 20 90 22 13 80 80 27 77 22 54 65 81 52 56 96 20 62 31 35 12 99 54 50 19 41
77 34 26 47 23 97 59 18 64 33 85 70 79 26 70 72 69 71 46 44 87 77 47 36 16 25 23 77 77 36 71 43 44 37 96 53 27 30 81 58
88 83 30 18 88 44 32 24 98 43 64 94 20 95 30 17 23 25 38 89 42 72 45 20 91 59 54 27 62 80 93 59 25 12 41 11 27 69 40 75
99 57 62 69 19 81 22 53 61 66 57 27 34 35 97 15 27 96 26 32 52 98 91 78 97 37 75 36 53 20 80 98 20 20 71 69 83 85 69 77
47 74 95 12 15 68 33 88 64 76 84 46 11 61 91 59 18 30 49 72 58 89 90 10 39 51 75 78 59 35 29 36 31 45 15 80 10 74 40 35
52 89 64 78 67 19 87 51 26 52 97 13 96 48 29 69 55 45 47 17 46 20 31 97 94 55 67 56 51 19 45 75 22 58 30 59 66 49 91 44
96 45 85 33 40 52 29 16 19 65 16 62 55 92 37 17 44 33 78 49 14 52 19 12 53 78 96 82 73 56 90 12 19 68 76 61 85 96 93 80
