100 100
-12 -6 -19 4 7 -15 -19 15 11 27 -1 22 19 -1 2 0 6 -9 -5 0 13 28 11 -8 0 -18 0 17 0 -14 1 -2 -20 -7 24 21 26 12 -12 -12 28 27 -7 28 22 15 -17 11 -4 10 -17 -10 2 26 20 8 27 15 18 -10 -1 15 3 -13 -17 -16 -20 -13 26 3 -5 -6 27 1 8 12 -2 -5 -13 -14 -13 23 -20 -14 -7 -12 14 9 -8 28 17 -11 1 3 16 12 -15 13 24 10 
25 -12 5 3 -5 -19 11 3 8 19 -4 -3 -14 -13 29 13 1 -12 -2 12 -5 4 -12 28 2 23 16 15 23 19 8 -18 5 11 -16 6 -7 16 25 -11 13 -11 27 20 14 9 23 24 2 -7 -19 26 11 7 -13 -20 -17 26 -20 -10 -2 25 12 20 2 5 -9 22 -9 4 12 29 5 -18 -11 -16 -3 13 -13 7 26 22 -7 14 16 -11 29 21 -6 29 -4 -1 4 -11 7 -5 17 16 0 5 
4 21 -12 2 -1 28 -3 16 18 -4 -1 24 13 9 -20 1 22 9 22 16 -6 -1 2 9 11 -4 -3 29 23 22 0 -12 -1 3 -10 16 -12 -9 26 28 17 18 28 -13 -6 9 12 4 7 -1 -6 2 -11 19 -16 6 23 27 -7 4 -19 12 3 -6 28 0 21 -19 15 -16 20 27 0 17 -13 8 25 2 9 7 -11 -14 25 -19 9 29 -9 20 9 22 6 10 14 -14 -8 -18 5 10 28 9 
6 -7 6 6 4 2 20 6 -1 -8 -12 -17 3 -10 5 -18 3 19 -13 -13 -11 2 23 29 -10 22 -19 -12 3 -2 -16 4 11 13 15 6 13 3 -18 12 -14 8 -8 -10 4 -12 20 -14 16 9 -6 -4 14 6 -5 20 -18 -5 27 22 9 -6 17 -3 27 10 27 2 15 2 -14 -5 -2 23 3 -18 8 -15 11 27 27 29 27 7 23 -8 13 -17 20 -7 11 -11 -9 -12 -20 18 -10 28 22 21 
21 14 26 -14 9 -2 -15 1 16 13 -3 18 4 0 19 -6 3 19 -12 -20 8 24 -4 7 -11 -1 -6 11 -4 -12 10 -8 26 -13 3 -12 -18 -6 -1 11 -18 18 -8 -5 27 -20 -16 1 27 21 -3 25 -9 11 23 13 -8 7 7 24 6 29 -2 -11 -3 -12 28 13 14 25 24 2 -5 4 0 4 -6 22 -4 -10 21 -8 -5 -5 15 21 -17 4 1 27 -17 -3 4 13 -3 29 27 29 -1 17 
19 20 15 -9 25 -1 15 11 24 29 0 6 -13 21 7 -15 -9 9 25 8 -13 -1 -19 -4 -15 -2 0 -20 6 -6 25 -2 24 -12 5 13 28 10 -1 -2 -10 -12 -2 -9 17 11 6 -4 21 4 -11 4 -7 18 15 21 9 17 23 7 4 -20 3 0 -16 -7 -14 -8 -15 23 26 22 -16 -4 -7 15 -12 -3 24 12 25 18 24 25 18 -5 18 -10 -6 -7 14 19 23 -18 14 -16 -15 -2 14 -13 
25 -3 -3 10 24 24 -11 -4 15 24 13 24 19 1 12 -2 -16 -3 24 28 4 10 27 19 28 27 -6 -19 9 -16 21 1 -19 0 22 1 -1 24 -8 9 -6 3 18 -19 -19 -20 -14 5 4 -6 -8 20 18 12 -12 16 4 29 -6 -13 4 -20 22 25 14 18 -1 1 -14 0 -10 3 5 -19 -13 11 13 5 -1 -1 19 -2 4 18 2 28 22 -2 7 -5 -1 -20 -2 -14 -7 28 -16 -14 13 10 
26 28 4 3 28 2 24 -20 25 -20 6 12 -3 -7 16 -12 -12 -18 -10 6 29 6 22 -10 -11 13 4 -4 25 -6 -4 11 -9 -12 -20 24 1 13 13 6 19 2 26 -16 18 18 -18 6 16 16 28 21 22 8 4 -17 -20 22 16 -7 -1 0 14 12 -6 0 14 12 23 24 -18 -6 17 7 -11 -7 -9 7 4 -7 -5 10 0 -6 1 -17 -2 23 18 14 20 20 11 26 1 0 26 -9 2 14 
-15 -5 1 -6 -19 10 29 -19 9 20 4 22 3 19 -8 2 27 16 13 17 18 -11 3 -8 1 7 2 0 -2 3 20 -4 -3 22 -17 -14 26 -19 -12 -11 -12 -10 22 2 18 23 6 3 -19 -6 10 -14 -12 -17 0 3 22 -15 0 29 -6 11 27 -1 -18 -11 15 20 -16 -7 20 -11 -15 9 -19 23 -20 10 -12 28 6 17 -12 -2 3 0 -19 4 13 22 28 23 -1 -10 5 23 19 -8 -11 -2 
-4 13 -14 2 25 -15 -18 -7 10 -1 5 12 6 15 -3 9 -6 -3 12 6 1 13 26 -5 20 -15 -4 10 0 1 23 21 18 18 -4 27 -2 4 -3 -13 4 14 3 -14 2 25 -20 28 -3 -4 14 -18 19 0 -3 -13 14 4 16 29 21 12 -11 -13 -19 24 -15 -11 22 22 -13 5 20 13 -18 4 12 2 -13 11 -4 13 -5 13 24 21 2 17 0 18 16 27 -7 1 6 -10 5 -2 29 11 
