100 50
-1 12 -13 27 -14 -14 2 18 -4 -2 -15 8 20 9 21 18 -10 -1 11 -11 3 13 12 11 -13 24 -2 -19 29 -4 -12 6 27 6 0 28 2 27 26 6 -11 -1 27 18 -5 26 -19 21 -9 -9 
29 24 25 15 6 11 18 -9 20 -20 17 -2 -14 4 -3 -20 24 18 16 17 13 23 -11 -12 2 18 0 -20 26 -4 15 -7 26 29 -10 6 -12 -2 18 9 25 24 -4 24 23 -9 7 3 15 20 
-15 -20 6 -12 27 -19 12 24 28 -19 29 24 22 -18 16 25 21 22 11 25 27 4 -20 0 23 -7 -15 4 23 0 -2 29 5 -2 19 -16 -19 -1 6 -14 24 23 2 10 13 10 16 -16 -1 13 
8 17 11 -9 20 7 23 11 -6 10 22 19 19 -18 14 17 -10 -15 29 -14 12 10 18 1 -2 -8 24 -2 -19 -6 4 -4 -16 -13 -19 -5 -1 21 25 28 -10 -3 5 -15 -4 -9 -16 11 24 -14 
23 11 -12 -4 -6 -20 15 -14 -15 4 1 -3 1 15 -12 -2 -5 15 0 27 -7 -2 -19 -6 -1 9 -8 8 28 22 -11 20 27 0 21 -10 4 20 2 -6 29 6 18 -6 -10 8 29 -2 -12 19 
21 7 -16 25 0 18 14 10 23 -18 3 -4 -18 -3 7 -13 27 15 4 -18 -9 3 4 -17 28 25 27 -7 15 -12 5 5 18 -19 21 23 12 9 4 -9 -3 19 12 22 0 29 14 8 24 2 
19 -17 -15 13 -6 -4 24 23 -17 4 -8 -17 -4 14 9 -19 13 -11 2 -11 5 -13 -18 21 17 -10 16 2 25 14 24 22 24 15 11 -6 22 18 15 2 -3 -3 26 -7 18 -12 6 19 24 -19 
15 12 3 -4 1 29 19 -20 15 0 -8 -6 5 19 -18 -6 -11 -5 -10 25 10 20 17 -12 11 -19 5 0 -6 3 21 23 18 19 6 -1 8 0 -14 5 6 9 24 29 -6 -11 15 3 12 10 
9 16 -18 27 3 0 9 11 8 19 -12 17 -4 -5 -4 -6 20 0 18 12 -17 17 2 4 10 18 13 12 -3 -3 7 -14 0 28 16 -15 6 -1 1 20 -20 21 -20 -1 -16 29 -4 -12 -17 -7 
27 6 12 -10 -6 17 -17 15 -5 -3 22 -16 -16 -2 16 11 21 3 29 24 1 1 26 2 29 23 24 11 16 0 21 12 -7 14 9 15 6 -20 -19 18 20 -5 -10 6 28 9 12 20 -15 6 
6 13 -13 25 15 24 24 10 11 21 9 29 -3 -11 9 -11 20 23 1 -17 21 -7 21 0 -1 -13 14 17 3 -5 -11 7 5 -10 -17 -1 1 17 7 -3 11 -14 9 -9 13 23 17 16 -8 -16 
14 -19 16 0 17 18 0 3 29 14 18 -7 12 -10 3 9 20 -10 -17 -18 17 -11 -19 20 22 -18 14 0 -3 -13 12 14 -16 24 7 -3 17 -2 -8 17 24 20 9 0 27 1 15 12 -16 21 
24 -17 10 -5 18 23 7 -11 -6 -1 -12 10 -15 16 10 -7 -11 5 17 10 21 -2 -12 3 0 18 -3 6 8 1 18 -14 17 20 25 3 -14 14 -4 -9 -5 -1 -16 16 -9 22 13 17 21 22 
-14 -10 -18 11 -11 19 -13 -15 -9 -7 2 21 -13 23 15 -19 20 21 -6 17 24 28 10 8 -15 -15 -1 -7 8 -8 -11 26 -8 1 19 -14 22 -12 26 4 16 13 -15 11 23 -6 5 22 -20 24 
-8 -18 -4 25 28 -19 6 -4 3 1 14 15 18 5 2 14 -10 29 23 -20 11 27 -4 -11 8 -1 -19 8 -20 -19 24 -20 17 11 -14 1 20 -2 22 -7 28 21 26 -7 25 4 -12 14 19 -1 
6 -12 23 -13 29 9 11 20 28 1 27 -4 -5 -17 16 0 -4 16 -5 -15 -5 8 19 0 28 29 -20 -8 6 3 10 -20 -4 8 -3 -17 -10 11 -6 -16 27 22 11 -16 -19 9 24 6 27 -17 
5 2 -8 -16 -10 29 0 -18 -18 8 3 -1 -16 -18 14 -14 -2 5 29 17 1 -20 -14 1 25 1 4 -4 28 5 -14 -11 -18 28 -20 4 19 -18 14 25 29 14 1 12 20 9 25 7 3 22 
1 19 -13 3 2 9 -20 2 -20 17 7 21 8 18 -12 23 12 20 2 1 5 15 16 2 11 -6 -5 -17 -11 11 5 -19 -20 0 18 -10 24 21 -12 -2 11 6 -8 -6 -5 11 -12 16 16 19 
16 21 29 2 13 -4 -7 17 27 -2 14 -8 7 -19 5 -20 -5 13 29 -11 25 -2 8 26 14 -19 -15 -10 -4 24 21 13 5 -20 17 -6 2 7 -10 26 -14 12 9 29 -14 5 23 -9 -3 27 
4 5 -2 -7 -14 29 -3 -17 -6 -9 6 -19 -10 19 -13 -20 18 -4 16 -7 12 -12 6 17 -13 24 7 -16 1 -12 -20 -7 26 13 -8 29 -19 -16 28 4 9 -11 -10 -7 -15 5 0 3 -8 -17 
8 -2 -19 23 8 -2 28 -1 15 21 -12 13 27 15 -19 21 -11 -20 1 12 18 1 -7 -14 0 24 14 0 -20 0 6 23 -2 -15 1 -18 0 2 -12 -4 8 24 -1 5 -1 19 19 -5 12 -10 
20 -5 10 24 -16 -5 26 15 16 -10 -17 24 7 -6 -11 12 -15 28 -4 7 14 20 -8 -13 -5 -16 -5 16 5 26 14 10 16 16 13 -20 10 -13 -8 -6 -16 6 -6 -20 -17 13 -11 13 -10 -8 
-11 5 0 -12 -15 -12 4 -20 3 -16 8 2 26 8 15 22 -11 9 11 5 18 -4 -18 -15 -9 -15 -2 6 29 2 -5 9 11 4 -14 16 24 -5 -7 0 17 9 0 3 11 29 -11 2 2 8 
16 10 -5 -3 -6 16 5 24 -17 20 29 -7 9 13 -19 0 -9 28 -7 12 -20 7 5 9 10 -15 -5 17 -17 23 15 -3 4 13 1 -1 7 10 21 25 16 17 13 28 26 23 -1 2 -4 15 
17 20 -13 -8 12 5 -15 -1 22 10 13 12 25 7 -10 -6 -15 19 17 -15 28 1 17 -6 -17 -8 -10 4 -9 4 0 -18 -9 -10 26 11 13 22 16 16 -4 -10 -1 8 -17 10 -15 -18 8 18 
-1 18 14 20 21 6 29 5 -14 17 3 -12 11 26 1 -13 14 6 1 -7 19 17 10 20 4 7 22 13 6 -1 -6 -20 -2 16 14 22 18 2 8 5 26 16 -7 4 -16 -15 8 26 4 15 
13 -6 15 15 -1 -8 -6 -17 -8 -8 -9 23 23 -13 12 1 7 6 28 2 21 -10 28 -10 2 -13 16 16 -11 9 1 19 -17 26 -15 -20 19 -4 18 -8 -13 13 -10 8 -11 -6 22 24 -16 29 
-11 18 -10 13 22 21 -7 27 -16 22 19 -4 13 17 -10 9 27 16 26 22 14 -11 26 13 -16 -11 12 2 1 -6 29 27 23 -1 17 4 -1 7 -12 18 -11 7 -9 5 -14 -10 4 -1 23 -3 
11 12 -14 8 -20 -17 -16 21 18 6 9 -16 -6 -19 -3 26 21 7 4 -1 20 -6 -19 4 11 8 1 2 25 1 -13 -16 2 -19 24 25 -2 2 9 15 16 15 14 8 1 -16 12 -9 -5 21 
-6 4 -16 -16 8 12 8 10 -16 -12 4 -5 -13 21 12 20 -9 9 -9 13 -3 14 9 28 0 -4 -18 18 -2 4 5 0 -4 27 -5 24 25 22 0 -17 9 15 26 -20 28 8 23 3 12 -13 
5 22 19 -14 24 -19 -15 1 27 0 -12 -13 -14 -5 19 -14 -3 -7 -8 28 -4 13 -9 2 -7 -20 13 11 -8 21 28 -2 -4 0 11 7 -8 -11 -9 -6 25 -9 -3 29 0 20 -13 -15 5 13 
14 22 -7 -13 -16 19 -16 23 -5 -5 12 6 -19 17 -1 11 5 -1 28 19 -8 16 26 9 9 11 -14 15 -19 22 20 -6 -20 22 23 2 17 -4 -4 19 28 12 15 -6 1 7 -14 12 3 -10 
-9 6 28 16 9 7 -5 6 -11 12 -13 -8 8 26 -14 1 -20 1 1 -17 9 -17 13 20 -5 -15 3 -7 16 -8 26 2 16 -18 4 -14 12 13 -17 27 -8 24 9 -8 24 -17 -20 27 0 -17 
6 7 8 -19 -13 1 29 -11 -2 11 25 -14 13 29 -6 8 5 16 -11 19 -10 -10 -7 -14 -8 2 15 10 -18 -5 -5 -2 21 28 12 14 0 -12 -20 21 -2 -7 -10 -2 3 7 -9 -9 26 3 
12 -13 28 20 -15 18 -18 -2 25 15 26 4 16 13 23 22 -11 -6 11 24 -17 -19 11 -13 -15 0 19 23 -6 7 21 17 14 -7 -14 -20 8 10 20 -3 -6 -16 9 21 20 -16 -20 18 7 29 
-19 29 21 3 -10 -8 19 28 -9 -1 19 14 10 11 8 7 17 16 5 13 13 25 26 5 9 2 26 3 18 26 -16 9 10 -1 -17 5 1 -15 -17 20 10 -9 -6 14 -2 16 -6 -20 2 29 
2 27 9 15 21 5 -10 -18 22 16 8 27 -9 9 -9 26 20 -2 6 -19 1 14 -20 29 -11 19 17 4 12 -15 -20 -18 21 -12 -9 -7 8 23 -20 -3 -2 18 -16 10 2 -8 16 4 22 -6 
-1 16 10 16 10 -2 26 18 -2 22 -9 21 8 16 11 -15 -13 17 0 -8 -12 9 18 23 17 15 -5 28 -2 -11 3 -19 1 11 13 8 2 -9 -17 -5 -17 18 16 13 -4 -19 8 25 8 15 
29 13 5 24 9 2 -8 12 -17 -15 1 -13 -11 -5 -5 -16 -19 25 14 -2 -16 -14 11 13 10 -5 0 -1 -19 25 18 10 3 1 9 -9 7 -12 21 18 17 17 17 2 21 5 0 28 11 29 
8 -11 -17 14 6 29 16 -11 12 -4 11 -3 -1 5 -5 5 1 -11 -7 -5 -5 -11 3 16 8 -3 -3 -3 -12 5 -8 -10 10 28 13 -20 -15 5 16 1 15 -2 28 27 19 21 -10 2 -2 -5 
19 -4 15 -11 -19 -12 2 6 3 -2 28 -18 20 19 -16 23 5 -19 4 21 -9 -15 -14 2 11 22 -10 -2 19 -13 -14 10 -14 -6 26 -18 4 -1 -14 -18 -14 -19 -11 18 15 8 1 20 20 15 
25 -2 -10 13 8 17 -11 22 27 20 3 -3 18 8 6 28 -19 -9 24 4 0 7 -7 6 15 9 16 -4 -16 -11 26 -19 -13 24 -11 1 17 12 -6 23 19 3 21 5 -9 1 17 15 4 24 
5 0 -20 16 -12 14 28 -1 11 -9 25 27 12 1 -2 -12 23 28 4 7 20 -10 13 10 22 -16 0 8 -5 28 -19 22 19 8 14 -8 7 -11 11 14 -9 14 -19 -19 14 20 -4 15 -15 19 
10 -19 -14 -7 -13 3 20 16 20 15 11 28 18 17 18 -6 -18 23 17 21 7 27 17 -11 7 3 7 -7 -9 9 19 19 17 11 -5 -13 3 -5 -7 0 -12 -8 19 27 9 -14 29 -17 -18 -17 
-20 -7 25 12 22 -8 -5 -20 23 12 -11 -7 -18 5 25 -1 16 -17 -8 -14 29 -14 -7 20 -18 -7 1 -19 -13 -8 16 -16 28 -9 1 17 12 -5 16 19 9 -5 21 2 0 -3 2 -20 15 8 
16 -1 -1 29 -9 29 17 7 1 -17 4 11 9 10 29 -2 0 -16 14 -8 1 1 -7 -16 25 2 26 18 7 -7 11 20 -4 -13 -11 3 -17 24 -18 20 28 7 -8 -9 12 5 11 -12 23 5 
-14 25 12 28 4 12 -20 -3 17 27 28 3 23 25 29 -19 19 -2 22 17 20 -19 -10 -2 -8 23 14 -18 3 -17 -2 -14 -2 8 11 9 6 20 10 -8 -18 15 12 3 -2 -12 -19 0 -9 14 
19 16 1 0 16 13 18 -10 -6 18 13 -8 -8 -2 -10 8 -11 7 -2 26 -7 26 -14 11 0 8 13 7 10 -7 -2 -3 -10 7 23 11 11 10 11 14 -18 19 -12 10 -16 -7 22 20 3 16 
